流水號,文章來源或個人分類,加入日期,急迫程度,挑選文章的老師,NOTE,Author(s)-Last Name,Author(s) -Full Name,Year,Paper Name,Journal name,Journal Abbreviations,Vol.(No.),Page,Symposium,JEL code,keyword,PDF檔名,初稿完成日期,最近更新日期,全文,文章進度,資料夾link,原文link,中文link,check log,check
000001,FC before,20190701,,賴孚權,,Eliaz and Spiegler,Kfir Eliaz and Ran Spiegler,2016,Search Design and Broad Matching,American Economic Review,AER,106(3),563-586,,"C78, D44, D82",,"Eliaz and Spiegler (2016)_Search Design and Broad Matching_American Economic Review 106(3), 563-586",,,0,3.0,,,,,0
000002,FC before,20190701,,賴孚權,,Colombo and Matsushima,Stefano Colombo and Noriaki Matsushima,2019,Competition between physical and internet retailers with heterogeneous customers,Working Paper,WorkingPaper,,,,"L13, D43","e-commerce, game theory, horizontal differentiation, vertical differentiation",Colombo and Matsushima (2019)_Competition between Physical and Internet Retailers with Heterogeneous Customers,,,0,3.0,,,,,0
000003,FC before,20190702,D,賴孚權,,Chen and Suen,Heng Chen and Wing Suen,2019,Competition for Attention in the News Media Market,Working Paper,WorkingPaper,,,,"D83, D84, L15, L82","monopolistic competition, news quality, attention allocation, sender-receiver game",Chen and Suen (2019)_Competition for Attention in the News Media Market,2019-08-01 00:00:00,2019-08-01 00:00:00,0,1.0,/volume1/web/DB/000003,/volume1/web/DB/Chen and Suen (2019)_Competition for Attention in the News Media Market_en.pdf,/volume1/web/DB/Chen_Suen2019_Competition-for-Attention_inChinese_20190801_pcn.pdf,2020-01-15 18:33:56.706234,1
000004,FC before,20190701,B,賴孚權,,Anderson,Simon P. Anderson,1988,Equilibrium Existence in the Linear Model of Spatial Competition,Economica,Economica,55(220),479-491,,,,"Anderson (1988)_Equilibrium Existence in the Linear Model of Spatial Competition_Economica, 55(220), 479-491",2019-02-18 00:00:00,2019-02-21 00:00:00,0,2.0,/volume1/web/DB/000004,"/volume1/web/DB/Choi (2010)_Tying in Two Sided Markets with Multi Homing_JIE_58(3), 607-626_en.pdf",/volume1/web/DB/Anderson1988_Economica_inChinese_20190221_pcnn.pdf,2020-01-15 18:33:56.715294,1
000005,FC before,20190701,B,賴孚權,,Anderson and Neven,Simon P. Anderson and Damien J. Neven,1991,Cournot Competition Yields Spatial Agglomeration,International Economic Review,IntER,32(4),793-808,,,,"Anderson and Neven (1991)_Cournot Competition Yields Spatial Agglomeration_International Economic Review 32(4), 793-808",2019-02-18 00:00:00,2019-02-21 00:00:00,0,2.0,/volume1/web/DB/000005,"/volume1/web/DB/Anderson_1988_Equilibrium Existence in the Linear Model of Spatial Competition_Economica_55,220_479-491_en.pdf",/volume1/web/DB/Anderson_Neven1991_IER_inChinese_20190221_pcnn.pdf,2020-01-15 18:33:56.715707,1
000006,FC before,20190701,B,賴孚權,,Armstrong,Mark Armstrong,2001,"Access Pricing, Bypass, and Universal Service",American Economic Review,AER,91(2),297-301,,,,"Armstrong (2001)_Access Pricing, Bypass, and Universal Service_AER 91(2), 297-301",2010-06-25 00:00:00,2010-06-25 00:00:00,0,1.0,/volume1/web/DB/000006,"/volume1/web/DB/Anderson and Neven (1991)_Cournot Competition Yields Spatial Agglomeration_International Economic Review 32(4), 793-808_en.pdf",/volume1/web/DB/Armstrong2001_AER_inChinese_20100625_pcn.pdf,2020-01-15 18:33:56.716036,1
000007,FC before,20190701,D,賴孚權,,"Bar-Isaac, Caruana, and Cuñat","Heski Bar-Isaac, Guillermo Caruana, and Vicente Cuñat",2012,"Search, Design, and Market Structure",American Economic Review,AER,102(2),1140-1160,,,,"Bar-Isaac, Caruana and Cunat (2012)_Search, Design and Market Structure_American Economic Review 102(2), 1140-1160",2014-06-27 00:00:00,2014-07-14 00:00:00,1,3.0,/volume1/web/DB/000007,"/volume1/web/DB/Bar-Isaac, Caruana and Cunat (2012)_Search, Design and Market Structure_American Economic Review 102(2), 1140-1160_en.pdf",/volume1/web/DB/Bar-Isaac_Caruana_Cunat2012_inChinese_20140714_fcnfin.pdf,2020-01-15 18:33:56.707048,1
000008,FC before,20190701,B,賴孚權,reply,Baumol,William J. Baumol,1974,On Taxation and the Control of Externalities: Reply,American Economic Review,AER,64(3),472,,,,"Baumol (1974)_On Taxation and the Control of Externalities：Reply_American Economic Review 64(3), 472",2019-03-29 00:00:00,2019-03-29 00:00:00,1,1.0,/volume1/web/DB/000008,"/volume1/web/DB/Armstrong (2001)_Access Pricing, Bypass, and Universal Service_AER 91(2), 297-301_en.pdf",/volume1/web/DB/Baumol1974_AER_inChinese_20190329_fcn.pdf,2020-01-15 18:33:56.716391,1
000009,FC before,20190701,B,賴孚權,,Biscaia and Mota,Ricardo Biscaia and Isabel Mota,2013,Models of spatial competition: A critical review,Papers in Regional Science,PiRS,92(4),851-871,,"L13, R10, D82","Spatial competition, critical review, Hotelling, game theory","Biscaia and Mota (2013)_Models of Spatial Competition：A Critical Review_Papers in Regional Science 92(4), 851-871",2019-06-24 00:00:00,2019-08-27 00:00:00,0,2.0,/volume1/web/DB/000009,"/volume1/web/DB/Baumol (1974)_On Taxation and the Control of Externalities???Reply_American Economic Review 64(3), 472_en.pdf",/volume1/web/DB/Biscaia_Mota2013_PiRS_inChinese_20190827_pcnn.pdf,2020-01-15 18:33:56.716776,1
000010,FC before,20190701,D,賴孚權,,Brueckner,Jan K. Brueckner,2002,Airport Congestion When Carriers Have Market Power,American Economic Review,AER,92(5),1357-1375,,"L93, H23, L50",,"Brueckner (2002)_Airport Congestion When Carriers Have Market Power_American Economic Review 92(5), 1357-1375",2018-11-02 00:00:00,2019-01-03 00:00:00,1,2.0,/volume1/web/DB/000010,"/volume1/web/DB/Brueckner (2002)_Airport Congestion When Carriers Have Market Power_American Economic Review 92(5), 1357-1375_en.pdf",/volume1/web/DB/Brueckner2002_AER_inChinese_20190103_fcnn.pdf,2020-01-15 18:33:56.707806,1
000011,FC before,20190701,A,賴孚權,,Brueckner and Lin,Jan K. Brueckner and Ming Hsin Lin,2016,Convenient flight connections vs. airport congestion: Modeling the ‘rolling hub’,International Journal of Industrial Organization,IJIO,48,118-142,,,"Rolling hub, congestion, layover, hub-and-spoke","Brueckner and Lin (2016)_Convenient Flight Connections vs. Airport Congestion_IJIO 48, 118-142",2018-11-14 00:00:00,2018-11-14 00:00:00,0,1.0,/volume1/web/DB/000011,"/volume1/web/DB/Brueckner and Lin (2016)_Convenient Flight Connections vs. Airport Congestion_IJIO 48, 118-142_en.pdf",/volume1/web/DB/Brueckner_Lin_2016_IJIO_inChinese_20181114_pcn.pdf,2020-01-15 18:33:56.713232,1
000012,FC before,20190701,D,賴孚權,,Buchanan,James M. Buchanan,1969,"External Diseconomies, Corrective Taxes, and Market Structure",American Economic Review,AER,59(1),174-177,,,,"Buchanan (1969)_External Diseconomies, Corrective Taxes, and Market Structure_American Economic Review 59(1), 174-177",2019-03-29 00:00:00,2019-03-29 00:00:00,0,1.0,/volume1/web/DB/000012,"/volume1/web/DB/Buchanan (1969)_External Diseconomies, Corrective Taxes, and Market Structure_American Economic Review 59(1), 174-177_en.pdf",/volume1/web/DB/Buchanan1969_AER_inChinese_20190329_pcn.pdf,2020-01-15 18:33:56.708233,1
000013,FC before,20190701,B,賴孚權,,Carlton and Loury,Dennis W. Carlton and Glenn C. Loury,1980,The Limitations of Pigouvian Taxes as a Long-Run Remedy for Externalities,Quarterly Journal of Economics,QJE,95(3),559-566,,,,"Carlton and Loury (1980)_The Limitations of Pigouvian Taxes as a Long-Run Remedy for Externalities_QJE 95(3), 559-566",2019-04-01 00:00:00,2019-04-01 00:00:00,1,1.0,/volume1/web/DB/000013,"/volume1/web/DB/Biscaia and Mota (2013)_Models of Spatial Competition A Critical Review_Papers in Regional Science 92(4), 851-871_en.pdf",/volume1/web/DB/Carlton_Loury1980_QJE_inChinese_20190401_fcn.pdf,2020-01-15 18:33:56.717104,1
000014,FC before,20190701,A,賴孚權,,Chen and Lai,Chin-Sheng Chen and Fu-Chuan Lai,2008,Location choice and optimal zoning under Cournot competition,Regional Science and Urban Economics,RSUE,38(2),119-126,,"L13, R38","Location choice, Zoning regulation, Cournot competition","Chen and Lai (2008)_Location Choice and Optimal Zoning under Cournot Competition_RSUE 38(2), 119-126",2019-03-04 00:00:00,2019-03-04 00:00:00,0,1.0,/volume1/web/DB/000014,"/volume1/web/DB/Chen and Lai (2008)_Location Choice and Optimal Zoning under Cournot Competition_RSUE 38(2), 119-126_en.pdf",/volume1/web/DB/Chen_Lai2008_RSUE_inChinese_20190304_pcn.pdf,2020-01-15 18:33:56.713553,1
000015,FC before,20190701,B,賴孚權,,"Choe, King and Matsushima","Chongwoo Choe, Stephen King and Noriaki Matsushima",2018,Pricing with Cookies: Behavior-Based Price Discrimination and Spatial Competition,Management Science,ManagSci,64(12),5461-5959,,,"spatial competition, behavior-based price discrimination, personalized pricing, endogenous product choice","Choe, King and Matsushima (2018)_Pricing with Cookies：Behavior-Based Price Discrimination and Spatial Competition_Management Science 64(2), 5461-5959",2019-01-15 00:00:00,2019-01-15 00:00:00,0,1.0,/volume1/web/DB/000015,/volume1/web/DB/Chen_Suen2019_workingpaper_inChinese_20190716_en.pdf,/volume1/web/DB/Choe_King_Matsushima2018_ManagementScience_inChinese_20190115_pcn.pdf,2020-01-15 18:33:56.714373,1
000016,FC before,20190701,B,賴孚權,,Choi,Jay Pil Choi,2010,Tying in Two-Sided Markets with Multi-Homing,Journal of Industrial Economics,JIE,58(3),607-626,,"L1, L4","tying, two-sided markets, (indirect) network effects, multi-homing","Choi (2010)_Tying in Two Sided Markets with Multi Homing_Journal of Industrial Economics 58(3), 607-626",2009-12-11 00:00:00,2009-12-11 00:00:00,1,1.0,/volume1/web/DB/000016,"/volume1/web/DB/Choe, King and Matsushima (2018)_Pricing with Cookies???Behavior-Based Price Discrimination and Spatial Competition_Management Science 64(12), 5461-5959_en.pdf",/volume1/web/DB/choi2006workingpaper_inChinese_20091211_fcn.pdf,2020-01-15 18:33:56.714798,1
000017,FC before,20190701,,賴孚權,,Choi and Kim,Jay Pil Choi and Byung-Cheol Kim,2010,Net neutrality and investment incentives,RAND Journal of Economics,RAND,41(3),446-471,,,,"Choi and Kim (2010)_Net Neutrality and Investment Incentives_RAND Journal of Economics 41(3), 446-471",,,0,3.0,,,,,0
000018,FC before,20190701,,賴孚權,,"Choi, Jeon and Kim","Jay Pil Choi, Doh-Shin Jeon and Byung-Cheol Kim",2015,"Net Neutrality, Business Models, and Internet Interconnection",American Economic Journal: Microeconomics,AEJMicro,7(3),104-141,,"D42, D43, D85, L51, L86, L88",,"Choi, Jeon and Kim (2015)_Net Neutrality, Business Models, and Internet Interconnection_AEJ Micro 7(3), 104-141",,,0,3.0,,,,,0
000019,FC before,20190701,,賴孚權,,"Choi, Jeon and Kim","Jay Pil Choi, Doh-Shin Jeon and Byung-Cheol Kim",2018,"Net Neutrality, Network Capacity, and Innovation at the Edges",Journal of Industrial Economics,JIE,66(1),172-204,,,,"Choi, Jeon and Kim (2018)_Net Neutrality, Network Capacity, and Innovation at the Edges_Journal of Industrial Economics 66(1), 172-204",,,0,3.0,,,,,0
000020,FC before,20190701,,賴孚權,,Clark,Colin Clark,1967,Von Thünen's Isolated State,"Oxford Economic Papers, New Series",OxfordEPapers,19(3),370-377,,,,"Clark (1967)_Von Thunen's Isolated State_Oxford Economic Papers, New Series 19(3), 370-377",,,0,3.0,,,,,0
000021,FC before,20190701,,賴孚權,,Coase,R. H. Coase,1960,The Problem of Social Cost,Journal of Law and Economics,JLawE,3,1-44,,,,"Coase (1960)_The Problem of Social Cost_Journal of Law and Economics 3, 1-44",,,0,3.0,,,,,0
000022,FC before,20190701,,賴孚權,,Coate and Conlin,Stephen Coate and Michael Conlin,2004,A Group Rule–Utilitarian Approach to Voter Turnout: Theory and Evidence,American Economic Review,AER,94(5),1476-1505,,D27,,"Coate and Conlin (2004)_A Group Rule -- Utilitarian Approach to Voter Turnout - Theory and Evidence_AER 94(5), 1476-1505",,,0,3.0,,,,,0
000023,FC before,20190701,,賴孚權,,Goldfarb and Tucker,Avi Goldfarb and Catherine Tucker,2019,Digital Economics,Journal of Economic Literature,JEL,57 (1),3-43,,"L81, L86, O33",,Goldfarb and Tucker (2017)_Digital Economics_NBER Working Paper Series No. 23684,,,0,3.0,,,,,0
000024,FC before,20190701,,賴孚權,,"d'Aspremont, Gabszewicz and Thisse","C. d'Aspremont, J. Jaskold Gabszewicz and J.-F. Thisse",1979,"On Hotelling's ""Stability in Competition""",Econometrica,Econometrica,47(5),1145-1150,,,,"d'Aspremont, Gabszewicz and Thisse (1979)_On Hotelling's ''Stability in Competition''_Econometrica 47(5), 1145-1150",,,0,3.0,,,,,0
000025,FC before,20190701,,賴孚權,,Doganoglu and Wright,Toker Doganoglu and Julian Wright,2006,Multihoming and compatibility,International Journal of Industrial Organization,IJIO,24(1),45-67,,"D43, L15, L20, L50","Multihoming, Compatibility, Network effects, Standards, Two-sided markets","Doganoglu and Wright (2006)_Multihoming and Compatibility_IJIO 24(1), 45-67",,,0,3.0,,,,,0
000026,FC before,20190701,,賴孚權,,Duggan and Martinelli,J. Duggan and C. Martinelli,2011,A Spatial Theory of Media Slant and Voter Choice,Review of Economic Studies,REStud,78(2),640-666,,"D72, D83","Media slant, Media effects, Spatial model, Voting","Duggan and Martinelli (2011)_Lai_A Spatial Theory of Media Slant and Voter Choice_Review of Economic Studies, 78(2), 640-666",,,0,3.0,,,,,0
000027,FC before,20190701,,賴孚權,,Economides and Hermalin,Nicholas Economides and Benjamin E. Hermalin,2012,The economics of network neutrality,RAND Journal of Economics,RAND,43(4),602-629,,,,"Economides and Hermalin (2012)_The Economics of Network Neutrality_RAND Journal of Economics 43(4), 602-629",,,0,3.0,,,,,0
000028,FC before,20190701,,賴孚權,,Economides and Hermalin,Nicholas Economides and Benjamin E. Hermalin,2015,The strategic use of download limits by a monopoly platform,RAND Journal of Economics,RAND,46(2),297-327,,,,"Economides and Hermalin (2015)_The Strategic Use of Download Limits by a Monopoly Platform_RAND Journal of Economics 46(2), 297-327",,,0,3.0,,,,,0
000029,FC before,20190701,,賴孚權,,Economides and Tåg,Nicholas Economides and Joacim Tåg,2012,Network neutrality on the Internet: A two-sided market analysis,Information Economics and Policy,InfEPolicy,24(2),91-104,,"L1, D4, L12, L13, C63, D42, D43","Network neutrality, Two-sided markets, Internet, Monopoly, Duopoly, Regulation, Discrimination, AT& T, Verizon, Comcast, Google","Economides and Tag (2012)_Network Neutrality on the Internet_Information Economics and Policy 24(2), 91-104",,,0,3.0,,,,,0
000030,FC before,20190701,,賴孚權,,Fan,Ying Fan,2013,Ownership Consolidation and Product Characteristics: A Study of the US Daily Newspaper Market,American Economic Review,AER,103(5),1598–1628,,"G32, L13, L82, M37",,"Fan (2013)_Ownership Consolidation and Product Characteristics - A Study of the US Daily Newspaper Market_AER 103(5), 1598-1628",,,0,3.0,,,,,0
000031,FC before,20190701,,賴孚權,,"Fan, Jun and Wolfstetter","Cuihong Fan, Byoung Heon Jun and Elmar G. Wolfstetter",2018,Induced price leadership and (double-)spying rivals' play under incomplete information,Working Paper,WorkingPaper,,,,"L12, L13, L41, D43, D82","Industrial espionage, price leadership, collusion, antitrust policy, incomplete information","Fan, Jun and Wolfstetter (2018)_Induced Price Leadership and (Double-)Spying Rivals' Play under Incomplete Information_working paper",,,0,3.0,,,,,0
000032,FC before,20190701,,賴孚權,,Farrell and Saloner,Joseph Farrell and Garth Saloner,1986,"Installed Base and Compatibility: Innovation, Product Preannouncements, and Predation",American Economic Review,AER,76(5),940-955,,,,"Farrell and Saloner (1986)_Installed Base and Compatibility - Innovation, Product Preannouncements, and Predation_AER 76(5), 940-955",,,0,3.0,,,,,0
000033,FC before,20190701,,賴孚權,,Feddersen and Sandroni,Timothy Feddersen and Alvaro Sandroni,2006,A Theory of Participation in Elections,American Economic Review,AER,96(4),1271-1282,,,,"Feddersen and Sandroni (2006)_A Theory of Participation in Elections_American Economic Review 96(4), 1271-1282",,,0,3.0,,,,,0
000034,FC before,20190701,,賴孚權,,Fleckinger and Lafay,Pierre Fleckinger and Thierry Lafay,2010,Product flexibility and price competition in Hotelling's duopoly,Mathematical Social Sciences,MathSocSci,60(1),61-68,,"L13, D43, M3","Horizontal differentiation, Catalog competition, Sequential moves","Fleckinger and Lafay (2010)_Product flexibility and price competition_Mathematical Social Sciences 60(1), 61-68",,,0,3.0,,,,,0
