流水號,文章來源或個人分類,加入日期,急迫程度,挑選文章的老師,NOTE,Citation,Citation Update,Author(s)-Last Name,Author(s) -Full Name,Year,Paper Name,Journal name,Journal Abbreviations,Vol.(No.),Page,Symposium,JEL code,keyword,PDF檔名,初稿完成日期,最近更新日期,全文,文章進度,資料夾link,原文link,中文link,check log,check
000001,FC before,20190701.0,B,賴孚權,,20.0,,Eliaz and Spiegler,Kfir Eliaz and Ran Spiegler,2016.0,Search Design and Broad Matching,American Economic Review,AER,106(3),563-586,,"C78, D44, D82",,"Eliaz and Spiegler (2016)_Search Design and Broad Matching_American Economic Review 106(3), 563-586",2017-03-20 00:00:00,2017-03-20 00:00:00,1,3.0,/volume1/web/DB/000001,"/volume1/web/DB/Eliaz and Spiegler (2016)_Search Design and Broad Matching_AER 106(3), 563-586_en.pdf",/volume1/web/DB/Eliaz_Spiegler2016_AER_inChinese_20170320_fcnfin.pdf,2020-07-02 00:00:34.134215,1
000002,FC before,20190701.0,B,賴孚權,,148.0,,Colombo and Matsushima,Stefano Colombo and Noriaki Matsushima,2019.0,Competition between physical and internet retailers with heterogeneous customers,Working Paper,WorkingPaper,,,,"L13, D43","e-commerce, game theory, horizontal differentiation, vertical differentiation",Colombo and Matsushima (2019)_Competition between Physical and Internet Retailers with Heterogeneous Customers,2019-02-25 00:00:00,2019-02-25 00:00:00,1,3.0,/volume1/web/DB/000002,/volume1/web/DB/Colombo and Matsushima (2019)_Competition between Physical and Internet Retailers_en.pdf,/volume1/web/DB/Colombo_Matsushima2019_WorkingPaper_inChinese_20190225_fcnfin.pdf,2020-07-02 00:00:34.133924,1
000003,FC before,20190702.0,B,賴孚權,,10.0,,Chen and Suen,Heng Chen and Wing Suen,2019.0,Competition for Attention in the News Media Market,Working Paper,WorkingPaper,,,,"D83, D84, L15, L82","monopolistic competition, news quality, attention allocation, sender-receiver game",Chen and Suen (2019)_Competition for Attention in the News Media Market,2019-08-01 00:00:00,2019-08-01 00:00:00,0,1.0,/volume1/web/DB/000003,/volume1/web/DB/Chen and Suen (2019)_Competition for Attention in the News Media Market_en.pdf,/volume1/web/DB/Chen_Suen2019_Competition-for-Attention_inChinese_20190801_pcn.pdf,2020-07-02 00:00:34.133646,1
000004,FC before,20190701.0,B,賴孚權,,123.0,,Anderson,Simon P. Anderson,1988.0,Equilibrium Existence in the Linear Model of Spatial Competition,Economica,Economica,55(220),479-491,,,,"Anderson (1988)_Equilibrium Existence in the Linear Model of Spatial Competition_Economica, 55(220), 479-491",2019-02-18 00:00:00,2019-02-21 00:00:00,0,2.0,/volume1/web/DB/000004,"/volume1/web/DB/Anderson_1988_Equilibrium Existence_Economica_55,220_479-491_en.pdf",/volume1/web/DB/Anderson1988_Economica_inChinese_20190221_pcnn.pdf,2020-07-02 00:00:34.133420,1
000005,FC before,20190701.0,B,賴孚權,,299.0,,Anderson and Neven,Simon P. Anderson and Damien J. Neven,1991.0,Cournot Competition Yields Spatial Agglomeration,International Economic Review,IntER,32(4),793-808,,,,"Anderson and Neven (1991)_Cournot Competition Yields Spatial Agglomeration_International Economic Review 32(4), 793-808",2019-02-18 00:00:00,2019-02-21 00:00:00,0,2.0,/volume1/web/DB/000005,"/volume1/web/DB/Anderson and Neven (1991)_Cournot Competition Yields Spatial Agglomeration_IER 32(4), 793-808_en.pdf",/volume1/web/DB/Anderson_Neven1991_IER_inChinese_20190221_pcnn.pdf,2020-07-02 00:00:34.133092,1
000006,FC before,20190701.0,B,賴孚權,,132.0,,Armstrong,Mark Armstrong,2001.0,"Access Pricing, Bypass, and Universal Service",American Economic Review,AER,91(2),297-301,,,,"Armstrong (2001)_Access Pricing, Bypass, and Universal Service_AER 91(2), 297-301",2010-06-25 00:00:00,2010-06-25 00:00:00,0,1.0,/volume1/web/DB/000006,"/volume1/web/DB/Armstrong (2001)_Access Pricing, Bypass, and Universal Service_AER 91(2), 297-301_en.pdf",/volume1/web/DB/Armstrong2001_AER_inChinese_20100625_pcn.pdf,2020-07-02 00:00:34.132796,1
000007,FC before,20190701.0,B,賴孚權,,151.0,,"Bar-Isaac, Caruana, and Cuñat","Heski Bar-Isaac, Guillermo Caruana, and Vicente Cuñat",2012.0,"Search, Design, and Market Structure",American Economic Review,AER,102(2),1140-1160,,,,"Bar-Isaac, Caruana and Cunat (2012)_Search, Design and Market Structure_American Economic Review 102(2), 1140-1160",2020-02-05 00:00:00,2020-02-05 00:00:00,0,1.0,/volume1/web/DB/000007,"/volume1/web/DB/91. Isaac, Caruana & Cu??at(2012)_Search, Design, and Market Structure_American Economic Review 2012, 102(2) 1140-1160_en.pdf",/volume1/web/DB/Bar-Isaac_Caruana_Cunat2012_AER_inChinese_20200205_pcn.pdf,2020-07-02 00:00:34.132571,1
000008,FC before,20190701.0,B,賴孚權,reply,13.0,,Baumol,William J. Baumol,1972.0,On Taxation and the Control of Externalities: Reply,American Economic Review,AER,62(3),307-322,,,,"Baumol (1974)_On Taxation and the Control of Externalities：Reply_American Economic Review 64(3), 472",2019-03-29 00:00:00,2019-03-29 00:00:00,1,3.0,/volume1/web/DB/000008,"/volume1/web/DB/Baumol (1974)_On Taxation_American Economic Review 64(3), 472_en.pdf",/volume1/web/DB/Baumol1974_AER_inChinese_20190329_fcnfin.pdf,2020-07-02 00:00:34.132245,1
000009,FC before,20190701.0,B,賴孚權,,65.0,,Biscaia and Mota,Ricardo Biscaia and Isabel Mota,2013.0,Models of spatial competition: A critical review,Papers in Regional Science,PiRS,92(4),851-871,,"L13, R10, D82","Spatial competition, critical review, Hotelling, game theory","Biscaia and Mota (2013)_Models of Spatial Competition：A Critical Review_Papers in Regional Science 92(4), 851-871",2019-06-24 00:00:00,2019-08-27 00:00:00,0,2.0,/volume1/web/DB/000009,"/volume1/web/DB/Biscaia and Mota (2013)_Models of Spatial Competition A Critical Review_PiRS 92(4), 851-871_en.pdf",/volume1/web/DB/Biscaia_Mota2013_PiRS_inChinese_20190827_pcnn.pdf,2020-07-02 00:00:34.132024,1
000010,FC before,20190701.0,B,賴孚權,,523.0,,Brueckner,Jan K. Brueckner,2002.0,Airport Congestion When Carriers Have Market Power,American Economic Review,AER,92(5),1357-1375,,"L93, H23, L50",,"Brueckner (2002)_Airport Congestion When Carriers Have Market Power_American Economic Review 92(5), 1357-1375",2018-11-02 00:00:00,2019-01-08 00:00:00,1,3.0,/volume1/web/DB/000010,"/volume1/web/DB/Brueckner (2002)_Airport Congestion When Carriers Have Market Power_AER 92(5), 1357-1375_en.pdf",/volume1/web/DB/Brueckner2002_AER_inChinese_20190108_fcnfin.pdf,2020-07-02 00:00:34.131718,1
